名称,発生場所,発生年月日,当事者種別,事故内容,所轄警察署,事故類型,地点経度,地点緯度
全事故,倉吉市宮川町２丁目,2013/02/06,軽乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.83342777800,35.43541388890
全事故,岩美郡岩美町大字浦富,2012/12/20,軽乗用貨物×普通乗用,軽傷事故,鳥取署,車両相互,134.31944722200,35.59083888890
全事故,岩美郡岩美町大字高山,2013/02/01,軽乗用×軽乗用貨物,重傷事故,鳥取署,車両相互,134.33706944400,35.56985277780
全事故,岩美郡岩美町大字新井,2013/02/12,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.32929444400,35.56708611110
全事故,岩美郡岩美町大字大谷,2013/03/03,軽乗用貨物×普通乗用,軽傷事故,鳥取署,車両相互,134.29360833300,35.56660000000
全事故,岩美郡岩美町大字牧谷,2013/02/23,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.33269444400,35.59074166670
全事故,境港市芝町,2013/03/14,普通乗用×普通乗用,軽傷事故,境港署,車両相互,133.22084722200,35.53074444440
全事故,境港市外江町,2013/03/17,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.21108888900,35.52894722220
全事故,境港市幸神町,2013/02/02,普通乗用×普通乗用,軽傷事故,境港署,車両相互,133.23828333300,35.50527222220
全事故,境港市高松町,2013/02/08,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.24879166700,35.51699722220
全事故,境港市三軒屋町,2013/02/15,軽乗用貨物×普通乗用,軽傷事故,境港署,車両相互,133.22832777800,35.50689166670
全事故,境港市小篠津町,2013/04/05,軽乗用×物件等,死亡事故,境港署,車両単独,133.25444638900,35.50829444440
全事故,境港市小篠津町,2013/02/08,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.24818055600,35.50739166670
全事故,境港市小篠津町,2013/01/26,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.23853611100,35.50522500000
全事故,境港市昭和町,2013/01/14,軽乗用貨物×歩行者,死亡事故,境港署,人対車両,133.24585000000,35.54366944440
