名称,発生場所,発生年月日,当事者種別,事故内容,所轄警察署,事故類型,地点経度,地点緯度
全事故,境港市新屋町,2013/01/12,普通乗用×普通乗用,軽傷事故,境港署,車両相互,133.25142222200,35.51244722220
全事故,境港市森岡町,2013/03/14,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.22568055600,35.51765000000
全事故,境港市中野町,2012/10/31,軽乗用貨物×自転車,重傷事故,境港署,車両相互,133.22690000000,35.53433888890
全事故,境港市中野町,2013/02/28,普通乗用×普通乗用,軽傷事故,境港署,車両相互,133.23811111100,35.53267222220
全事故,境港市渡町,2013/04/23,普通貨物×普通乗用,軽傷事故,境港署,車両相互,133.21461111100,35.51910555560
全事故,境港市渡町,2013/04/03,普通乗用×軽乗用×軽乗用,重傷事故,境港署,車両相互,133.21778055600,35.51323611110
全事故,境港市馬場崎町,2013/03/25,軽乗用×歩行者,軽傷事故,境港署,人対車両,133.22916388900,35.53986388890
全事故,西伯郡大山町御来屋,2012/12/21,軽乗用×軽乗用,軽傷事故,八橋署,車両相互,133.49945833300,35.51319444440
全事故,西伯郡大山町上市,2013/03/28,普通乗用×普通乗用,軽傷事故,八橋署,車両相互,133.56549166700,35.52060000000
全事故,西伯郡大山町西坪,2013/02/18,普通乗用×普通乗用,軽傷事故,八橋署,車両相互,133.50111111100,35.51390000000
全事故,西伯郡大山町西坪,2012/11/10,軽乗用×普通乗用,軽傷事故,八橋署,車両相互,133.50212500000,35.51246944440
全事故,西伯郡大山町赤松,2012/12/27,軽乗用×軽乗用貨物,軽傷事故,八橋署,車両相互,133.45997222200,35.41565000000
全事故,西伯郡大山町田中,2013/03/03,軽乗用×普通乗用,軽傷事故,八橋署,車両相互,133.58719722200,35.52448611110
全事故,西伯郡大山町田中,2013/02/10,普通乗用×普通乗用,軽傷事故,八橋署,車両相互,133.59915555600,35.52038888890
全事故,西伯郡大山町田中,2013/02/06,普通乗用×普通貨物,軽傷事故,八橋署,車両相互,133.59952777800,35.52117500000
全事故,西伯郡大山町富岡,2013/04/30,大型貨物×歩行者,重傷事故,高速隊,人対車両,133.44426388900,35.46605000000
全事故,西伯郡大山町富岡,2013/04/30,車両単独,軽傷事故,高速隊,車両単独,133.44426388900,35.46605000000
全事故,西伯郡大山町名和,2013/01/05,軽乗用貨物×普通乗用,軽傷事故,八橋署,車両相互,133.50048611100,35.50880555550
全事故,西伯郡南部町阿賀,2013/01/31,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33141388900,35.36189722220
全事故,西伯郡南部町福成,2013/02/14,軽乗用貨物×普通乗用,軽傷事故,米子署,車両相互,133.33781944400,35.36880000000
全事故,西伯郡南部町福成,2013/04/04,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33195305600,35.36333861110
全事故,西伯郡南部町福成,2012/11/15,軽乗用×軽乗用貨物,軽傷事故,米子署,車両相互,133.33347222200,35.36699166670
全事故,西伯郡南部町法勝寺,2012/11/21,中型貨物×原付,重傷事故,米子署,車両相互,133.32540277800,35.34547500000
全事故,西伯郡南部町北方,2012/12/24,軽乗用貨物×自転車,重傷事故,米子署,車両相互,133.32505555600,35.36104444440
全事故,西伯郡日吉津村大字日吉津,2012/12/15,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.38265000000,35.44533888890
全事故,西伯郡日吉津村大字日吉津,2013/02/05,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.38265000000,35.44532500000
全事故,西伯郡日吉津村大字日吉津,2013/02/19,普通乗用×自転車,軽傷事故,米子署,車両相互,133.38024166700,35.43556111110
全事故,西伯郡日吉津村大字富吉,2013/02/07,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.37210833300,35.44778888890
全事故,西伯郡日吉津村大字富吉,2013/01/11,普通乗用×自転車,軽傷事故,米子署,車両相互,133.37040555600,35.43627777780
全事故,西伯郡日吉津村大字富吉,2013/03/15,普通乗用×軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.37806944400,35.44655833330
全事故,西伯郡日吉津村大字富吉,2013/01/30,軽乗用貨物×軽乗用,軽傷事故,米子署,車両相互,133.37760000000,35.44666666670
全事故,西伯郡日吉津村大字富吉,2013/04/06,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.37643611100,35.44759722220
全事故,西伯郡伯耆町丸山,2013/02/10,普通乗用×普通乗用×普通乗用,軽傷事故,黒坂署,車両相互,133.52362500000,35.38253888890
全事故,西伯郡伯耆町吉長,2013/02/01,普通貨物×普通乗用,軽傷事故,黒坂署,車両相互,133.40431666700,35.38745833330
全事故,西伯郡伯耆町宮原,2013/02/08,普通乗用×普通乗用,重傷事故,黒坂署,車両相互,133.44629444400,35.32433611110
全事故,西伯郡伯耆町金屋谷,2013/01/03,普通乗用×軽乗用,軽傷事故,黒坂署,車両相互,133.45312222200,35.35919722220
全事故,西伯郡伯耆町大殿,2013/01/17,軽乗用×軽乗用貨物,軽傷事故,黒坂署,車両相互,133.40017500000,35.38669444440
全事故,西伯郡伯耆町立岩,2013/02/16,普通乗用×普通乗用,軽傷事故,黒坂署,車両相互,133.41991944400,35.36888888890
全事故,倉吉市下古川,2013/02/15,軽乗用×251-400,軽傷事故,倉吉署,車両相互,133.83229722200,35.46686666670
全事故,倉吉市河原町,2013/03/26,軽乗用貨物×普通貨物,軽傷事故,倉吉署,車両相互,133.80948055600,35.42980277780
全事故,倉吉市海田西町１丁目,2012/12/27,軽乗用貨物×普通乗用,軽傷事故,倉吉署,車両相互,133.84480000000,35.46120555560
全事故,倉吉市海田西町１丁目,2013/02/09,軽乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.84292777800,35.46105000000
全事故,倉吉市海田東町,2013/02/23,軽乗用貨物×軽乗用×軽乗用,軽傷事故,倉吉署,車両相互,133.84479166700,35.45825555560
全事故,倉吉市海田東町,2012/12/28,普通乗用×軽乗用,軽傷事故,倉吉署,車両相互,133.84481666700,35.45841111110
全事故,倉吉市海田南町,2012/03/06,軽乗用貨物×軽乗用,軽傷事故,倉吉署,車両相互,133.84484444400,35.45874166670
全事故,倉吉市巌城,2013/01/21,普通乗用×自転車,重傷事故,倉吉署,車両相互,133.83860833300,35.44184722220
全事故,倉吉市宮川町２丁目,2013/01/27,普通乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.83353055600,35.43393333330
全事故,倉吉市堺町３丁目,2012/12/21,軽乗用貨物×軽乗用,軽傷事故,倉吉署,車両相互,133.82662500000,35.43460000000
全事故,倉吉市山根,2013/01/24,軽乗用×軽乗用,軽傷事故,倉吉署,車両相互,133.85460277800,35.45007777780
全事故,倉吉市山根,2013/01/15,普通乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.85068888900,35.44957777780
全事故,倉吉市山根,2013/04/08,軽乗用×原付,重傷事故,倉吉署,車両相互,133.84642222200,35.44783611110
全事故,倉吉市耳,2013/02/15,普通乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.77352777800,35.37643333330
全事故,倉吉市秋喜,2013/03/24,普通乗用×軽乗用,軽傷事故,倉吉署,車両相互,133.79793888900,35.42508888890
全事故,倉吉市上井,2013/01/04,軽乗用貨物×普通乗用,軽傷事故,倉吉署,車両相互,133.84498055600,35.45491666670
全事故,倉吉市上井,2013/03/03,普通乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.84494444400,35.45491666670
全事故,倉吉市上井,2013/02/24,軽乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.84507777800,35.45506944440
全事故,倉吉市上井町１丁目,2013/04/19,普通乗用×歩行者,死亡事故,倉吉署,人対車両,133.84935277800,35.45144722220
全事故,倉吉市上井町１丁目,2013/02/09,普通乗用×普通乗用,重傷事故,倉吉署,車両相互,133.85059444400,35.45279166670
全事故,倉吉市上余戸,2012/12/16,軽乗用×相手なし,軽傷事故,倉吉署,車両単独,133.85173333300,35.43376944440
全事故,倉吉市新田,2012/12/17,軽乗用×普通乗用,重傷事故,倉吉署,車両相互,133.83903333300,35.46494444440
全事故,倉吉市西倉吉町,2013/03/23,普通乗用×自転車,軽傷事故,倉吉署,車両相互,133.80655555600,35.42661388890
全事故,倉吉市西倉吉町,2013/03/11,普通乗用×歩行者,重傷事故,倉吉署,人対車両,133.80685277800,35.42895833330
全事故,倉吉市谷,2012/12/22,軽乗用貨物×軽乗用,軽傷事故,倉吉署,車両相互,133.75877222200,35.44821388890
全事故,倉吉市中江,2012/12/14,軽乗用貨物×普通乗用,重傷事故,倉吉署,車両相互,133.83175277800,35.47147500000
全事故,倉吉市東巌城町,2013/02/05,普通乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.84320555600,35.43812222220
全事故,倉吉市東巌城町,2013/01/22,普通乗用×軽乗用,軽傷事故,倉吉署,車両相互,133.84337222200,35.43514722220
全事故,倉吉市東巌城町,2012/12/31,普通乗用×軽乗用,軽傷事故,倉吉署,車両相互,133.84318333300,35.44009444440
全事故,倉吉市東巌城町,2013/02/17,普通乗用×軽乗用,軽傷事故,倉吉署,車両相互,133.84348888900,35.43974722220
全事故,倉吉市福吉町２丁目,2013/01/05,軽乗用×物件等,軽傷事故,倉吉署,車両単独,133.81506111100,35.43548888890
全事故,倉吉市米田町,2012/09/04,自転車×軽乗用貨物,重傷事故,倉吉署,車両相互,133.84449166700,35.42488888890
全事故,倉吉市湊町,2013/01/27,軽乗用×普通乗用,軽傷事故,倉吉署,車両相互,133.82981944400,35.43061944440
全事故,鳥取市安長,2013/01/04,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.20045833300,35.51355000000
全事故,鳥取市安長,2013/03/31,普通乗用×軽乗用貨物,軽傷事故,鳥取署,車両相互,134.20168527800,35.51001166670
全事故,鳥取市安長,2012/12/29,普通貨物×普通乗用×普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.20171111100,35.51029722220
全事故,鳥取市安長,2013/04/05,普通乗用×軽乗用貨物,軽傷事故,鳥取署,車両相互,134.20006388900,35.50988055560
全事故,鳥取市安長,2013/03/03,軽乗用×軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.19835555600,35.51129444440
全事故,鳥取市栄町,2013/02/02,普通乗用×自転車,軽傷事故,鳥取署,車両相互,134.22836388900,35.49614722220
全事故,鳥取市永楽温泉町,2012/10/26,普通乗用×自転車,軽傷事故,鳥取署,車両相互,134.22808611100,35.49403333330
全事故,鳥取市永楽温泉町,2013/02/16,大乗用×歩行者,死亡事故,鳥取署,人対車両,134.23059166700,35.49379166670
全事故,鳥取市永楽温泉町,2013/03/15,軽乗用×自転車,重傷事故,鳥取署,車両相互,134.22959444400,35.49343333330
全事故,鳥取市永楽温泉町,2013/02/11,軽乗用貨物×自転車,軽傷事故,鳥取署,車両相互,134.22892777800,35.49372777780
全事故,鳥取市永楽温泉町,2013/01/23,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.23133055600,35.49230000000
全事故,鳥取市河原町曳田,2013/04/21,軽乗用×自転車,軽傷事故,智頭署,車両相互,134.19835750000,35.39389111110
全事故,鳥取市賀露町,2013/04/11,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.19153055600,35.52054166670
全事故,鳥取市賀露町北３丁目,2012/12/28,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.18750000000,35.53162500000
全事故,鳥取市叶１丁目,2013/01/22,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.21447222200,35.47864722220
全事故,鳥取市叶,2013/03/01,普通貨物×普通乗用,軽傷事故,鳥取署,車両相互,134.21771944400,35.47793611110
全事故,鳥取市瓦町,2013/01/21,原付×自転車,重傷事故,鳥取署,車両相互,134.23005555600,35.49577777780
全事故,鳥取市岩倉,2013/01/08,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.25842500000,35.48445277780
全事故,鳥取市岩美町大字大谷,2012/12/15,普通貨物×普通乗用,軽傷事故,鳥取署,車両相互,134.29883333300,35.57351944440
全事故,鳥取市気高町下光元,2012/12/26,軽乗用×歩行者,重傷事故,浜村署,人対車両,134.07938888900,35.49690833330
全事故,鳥取市気高町勝見,2013/03/11,普通乗用×軽乗用,重傷事故,浜村署,車両相互,134.04620833300,35.50784444440
全事故,鳥取市気高町八束水,2013/02/04,軽乗用×物件等,重傷事故,浜村署,車両単独,134.01982222200,35.51863861110
全事故,鳥取市気高町八束水,2012/12/24,普通乗用×普通乗用,軽傷事故,浜村署,車両相互,134.02248611100,35.51546111110
全事故,鳥取市気高町八束水,2013/04/06,普通乗用×軽乗用×軽乗用,軽傷事故,浜村署,車両相互,134.02463333300,35.51789444440
全事故,鳥取市吉成,2013/03/20,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.22701944400,35.48438333330
全事故,鳥取市吉成２丁目,2013/02/15,普通乗用×自転車,重傷事故,鳥取署,車両相互,134.22541666700,35.48505000000
全事故,鳥取市吉成南町２丁目,2013/01/21,軽乗用×歩行者,軽傷事故,鳥取署,人対車両,134.21768333300,35.47821666670
全事故,鳥取市吉方温泉３丁目,2013/02/01,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.23333333300,35.49139166670
全事故,鳥取市吉方町１丁目,2012/11/15,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.23894166700,35.49408055560
全事故,鳥取市宮長,2013/02/26,普通乗用×自転車,軽傷事故,鳥取署,車両相互,134.22570277800,35.47505000000
全事故,鳥取市宮長,2013/02/24,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.22037500000,35.47740555550
全事故,鳥取市宮長,2013/02/09,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.22531388900,35.47507500000
全事故,鳥取市元大工町,2013/03/06,中型乗用×自転車,軽傷事故,鳥取署,車両相互,134.23895833300,35.49630000000
全事故,鳥取市古海,2013/01/09,軽乗用×普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.20914166700,35.49751111110
全事故,鳥取市古郡家,2013/03/10,軽乗用×軽乗用,重傷事故,鳥取署,車両相互,134.23827500000,35.45847777780
全事故,鳥取市湖山町西,2013/02/23,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.16198888900,35.52558611110
全事故,鳥取市湖山町東１丁目,2013/01/26,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.18567777800,35.51598333330
全事故,鳥取市湖山町東２丁目,2013/03/24,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.18633333300,35.51732222220
全事故,鳥取市湖山町東４丁目,2012/12/26,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.19016666700,35.51473055560
全事故,鳥取市湖山町東４丁目,2012/12/30,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.19004166700,35.51474722220
全事故,鳥取市湖山町東４丁目,2012/12/15,普通乗用×歩行者,軽傷事故,鳥取署,人対車両,134.19189444400,35.51708888890
全事故,鳥取市湖山町東５丁目,2013/01/27,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.19142222200,35.51445333330
全事故,鳥取市湖山町南２丁目,2013/01/24,中型貨物×軽乗用,軽傷事故,鳥取署,車両相互,134.18610277800,35.51275833330
全事故,鳥取市湖山町南２丁目,2012/12/31,普通乗用×歩行者,軽傷事故,鳥取署,人対車両,134.18180833300,35.51252500000
全事故,鳥取市湖山町南３丁目,2013/01/06,普通乗用×原付,軽傷事故,鳥取署,車両相互,134.18105000000,35.50720277780
全事故,鳥取市湖山町南３丁目,2013/01/18,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.18100555600,35.50666388890
全事故,鳥取市湖山町北２丁目,2013/03/19,軽乗用×自転車,重傷事故,鳥取署,車両相互,134.17165277800,35.52114722220
全事故,鳥取市湖山町北６丁目,2013/03/04,軽乗用×歩行者,重傷事故,鳥取署,人対車両,134.18292500000,35.51818888890
全事故,鳥取市幸町,2013/01/16,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.21728333300,35.49588611110
全事故,鳥取市幸町,2013/03/15,軽乗用×軽二輪,死亡事故,鳥取署,車両相互,134.21756944400,35.49612500000
全事故,鳥取市幸町,2012/12/09,軽乗用×自転車,重傷事故,鳥取署,車両相互,134.22303888900,35.49544444440
全事故,鳥取市行徳１丁目,2013/01/21,大乗用×相手なし,軽傷事故,鳥取署,車両単独,134.22284722200,35.49739722220
全事故,鳥取市国安,2012/12/13,普通貨物×軽乗用貨物,軽傷事故,鳥取署,車両相互,134.21474166700,35.46448055550
全事故,鳥取市国府町新通り２丁目,2013/01/12,普通乗用×軽乗用貨物,軽傷事故,鳥取署,車両相互,134.25418055600,35.48140277780
全事故,鳥取市今町１丁目,2013/04/22,軽乗用貨物×普通乗用,軽傷事故,鳥取署,車両相互,134.22438611100,35.49681111110
全事故,鳥取市今町１丁目,2013/04/09,普通乗用×自転車,軽傷事故,鳥取署,車両相互,134.22624444400,35.49828611110
全事故,鳥取市鹿野町今市,2012/11/09,普通貨物×歩行者,軽傷事故,浜村署,人対車両,134.05601111100,35.46604444440
全事故,鳥取市秋里,2013/01/26,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.20805555600,35.51972777780
全事故,鳥取市秋里,2013/03/26,普通貨物×普通乗用,軽傷事故,鳥取署,車両相互,134.20795277800,35.51976666670
全事故,鳥取市秋里,2013/03/30,軽乗用貨物×普通乗用,軽傷事故,鳥取署,車両相互,134.20802222200,35.51972222220
全事故,鳥取市小沢見,2013/01/29,普通乗用×普通乗用,重傷事故,鳥取署,車両相互,134.10066388900,35.52139444440
全事故,鳥取市松並町２丁目,2013/02/24,普通貨物×軽乗用,軽傷事故,鳥取署,車両相互,134.21976111100,35.51581666670
全事故,鳥取市菖蒲,2013/04/11,軽乗用×軽乗用貨物,軽傷事故,鳥取署,車両相互,134.20564444400,35.48301111110
全事故,鳥取市新,2013/04/11,普通乗用×歩行者,軽傷事故,鳥取署,人対車両,134.23513611100,35.48094722220
全事故,鳥取市杉崎,2012/12/19,普通乗用×歩行者,重傷事故,鳥取署,人対車両,134.24881666700,35.46399722220
全事故,鳥取市正蓮寺,2013/02/10,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.24371944400,35.47255555560
全事故,鳥取市正蓮寺,2013/01/14,軽乗用貨物×原付,重傷事故,鳥取署,車両相互,134.24206944400,35.47259722220
全事故,鳥取市正蓮寺,2013/02/08,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.24198333300,35.47191111110
全事故,鳥取市正蓮寺,2013/01/13,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.24491388900,35.47055277780
全事故,鳥取市正蓮寺,2013/02/18,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.24228055600,35.47063611110
全事故,鳥取市西町２丁目,2013/02/14,普通乗用×自転車,軽傷事故,鳥取署,車両相互,134.23273888900,35.50331111110
全事故,鳥取市西品治,2013/03/20,原付×軽乗用,軽傷事故,鳥取署,車両相互,134.21903611100,35.50839722220
全事故,鳥取市青葉町１丁目,2013/02/25,軽乗用×原付,軽傷事故,鳥取署,車両相互,134.22863055600,35.51047777780
全事故,鳥取市青葉町２丁目,2013/03/04,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.22863055600,35.51047777780
全事故,鳥取市千代水３丁目,2013/01/15,軽乗用×自転車,重傷事故,鳥取署,車両相互,134.20208333300,35.51940833330
全事故,鳥取市扇町,2013/03/16,普通乗用×軽乗用,重傷事故,鳥取署,車両相互,134.22400833300,35.49128055560
全事故,鳥取市大杙,2013/02/08,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.24444444400,35.47765000000
全事故,鳥取市滝山,2013/01/15,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.26836666700,35.49822222220
全事故,鳥取市天神町,2013/03/01,普通乗用×軽乗用貨物,軽傷事故,鳥取署,車両相互,134.22060000000,35.49260277780
全事故,鳥取市東今在家,2013/01/18,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.25470555600,35.47651666670
全事故,鳥取市東町１丁目,2013/03/09,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.23710896400,35.50326844850
全事故,鳥取市東町３丁目,2013/03/28,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.23372222200,35.50681944440
全事故,鳥取市東町３丁目,2012/06/12,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.23286111100,35.50769166670
全事故,鳥取市徳吉２５６番地先路上,2013/02/16,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.20412777800,35.50029166670
全事故,鳥取市徳尾１７２番地先路上,2013/01/22,軽乗用×軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.20455555600,35.49658888890
全事故,鳥取市徳尾１番地,2013/01/29,普通乗用×歩行者×普通貨物,死亡事故,鳥取署,人対車両,134.19652222200,35.49775555560
全事故,鳥取市徳尾８９番地先路上,2012/12/22,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.20387222200,35.50294722220
全事故,鳥取市南安長３丁目,2013/03/25,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.20293611100,35.50958611110
全事故,鳥取市南栄町,2013/03/10,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.24313333300,35.45818333330
全事故,鳥取市南栄町,2013/03/22,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.24115000000,35.45806666670
全事故,鳥取市南吉方１丁目,2013/03/14,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.23222500000,35.48871111110
全事故,鳥取市南吉方１丁目,2013/04/04,軽乗用貨物×普通貨物,軽傷事故,鳥取署,車両相互,134.23083777800,35.48861416670
全事故,鳥取市南吉方２丁目,2013/02/04,軽乗用×自転車,軽傷事故,鳥取署,車両相互,134.23483333300,35.48518888890
全事故,鳥取市南吉方３丁目,2012/09/19,普通乗用×自転車,重傷事故,鳥取署,車両相互,134.23984444400,35.48418055560
全事故,鳥取市南吉方３丁目,2013/01/25,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.24191666700,35.48686944440
全事故,鳥取市南隈,2012/09/30,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.20238333300,35.52040555560
全事故,鳥取市南隈,2012/11/24,普通乗用×軽乗用貨物×普通乗用,軽傷事故,鳥取署,車両相互,134.20186111100,35.51947222220
全事故,鳥取市南隈,2013/01/01,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.20136111100,35.52077500000
全事故,鳥取市南隈,2013/02/20,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.19905277800,35.51944722220
全事故,鳥取市南隈,2013/03/29,普通乗用×普通貨物,軽傷事故,鳥取署,車両相互,134.20082222200,35.51956944440
全事故,鳥取市白兎,2013/01/10,中型貨物×軽乗用貨物,軽傷事故,鳥取署,車両相互,134.11464166700,35.52578888890
全事故,鳥取市白兎,2013/04/09,普通貨物×大型貨物,軽傷事故,鳥取署,車両相互,134.11996666700,35.52645555560
全事故,鳥取市八坂,2012/12/22,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.21445555600,35.45076388890
全事故,鳥取市浜坂８丁目,2013/04/12,軽乗用×歩行者,重傷事故,鳥取署,人対車両,134.20196083300,35.53501638890
全事故,鳥取市富安１丁目,2012/10/16,普通乗用×歩行者,重傷事故,鳥取署,人対車両,134.22727500000,35.48853333330
全事故,鳥取市富安２丁目,2013/03/05,普通乗用×軽乗用,重傷事故,鳥取署,車両相互,134.22763055600,35.49130555560
全事故,鳥取市富安２丁目,2013/03/13,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.22751111100,35.49278055560
全事故,鳥取市布勢,2013/03/12,普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.17659722200,35.50130555560
全事故,鳥取市布勢,2013/04/10,軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.12618888900,35.52656666670
全事故,鳥取市布勢,2013/02/07,普通乗用×原付,軽傷事故,鳥取署,車両相互,134.13334444400,35.52674166670
全事故,鳥取市布勢,2012/11/25,軽乗用×軽乗用,重傷事故,鳥取署,車両相互,134.13190277800,35.52713333330
全事故,鳥取市布勢,2013/01/23,普通乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.13776388900,35.52686111110
全事故,鳥取市服部,2012/12/23,軽乗用貨物×軽乗用貨物,軽傷事故,鳥取署,車両相互,134.20781666700,35.48022500000
全事故,鳥取市服部,2013/01/30,軽乗用貨物×軽乗用×軽乗用,軽傷事故,鳥取署,車両相互,134.20748888900,35.47996666670
全事故,鳥取市福部町栗谷,2013/01/30,軽乗用×軽乗用貨物,重傷事故,鳥取署,車両相互,134.29682777800,35.53788888890
全事故,鳥取市福部町細川,2013/02/10,普通乗用×歩行者,軽傷事故,鳥取署,人対車両,134.27303333300,35.55878888890
全事故,鳥取市福部町細川,2013/02/18,軽乗用貨物×軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.28040277800,35.55759722220
全事故,鳥取市福部町箭溪,2013/02/22,軽乗用×普通乗用,重傷事故,鳥取署,車両相互,134.28617222200,35.52679444440
全事故,鳥取市福部町湯山,2013/03/01,軽乗用貨物×普通乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.25065555600,35.53533333330
全事故,鳥取市福部町湯山,2012/12/26,軽乗用×大型貨物,重傷事故,鳥取署,車両相互,134.26108055600,35.54428055560
全事故,鳥取市面影１丁目,2012/12/24,軽乗用×普通乗用,軽傷事故,鳥取署,車両相互,134.24634444400,35.47802222220
全事故,鳥取市弥生町,2012/10/24,自転車×歩行者,重傷事故,鳥取署,人対車両,134.23140277800,35.49693055560
全事故,鳥取市用瀬町宮原,2013/01/17,軽乗用×普通乗用,軽傷事故,智頭署,車両相互,134.19802777800,35.31159166670
